part_number,model,training_usage_qty,std_dev_monthly_usage,avg_installed_base,installed_base_at_forecast,training_months,avg_monthly_usage,coefficient_of_variation,monthly_usage_rate_per_machine,raw_predicted_demand,adjusted_predicted_demand,demand_classification,forecast_reason,stock_on_hand,stock_on_order,stock_snapshot_date_used,current_stock_used,variability_buffer_pct,total_buffer_pct,safety_buffer,recommended_order,true_demand,predicted_demand,forecast_error,absolute_error,under_forecast_qty,over_forecast_qty,forecast_date,training_start,training_end,lead_time_start,lead_time_end,evaluation_start,evaluation_end
PN-1000,MODEL-A,2.0,0.0,3.0,3.0,9,0.2222222222222222,0.0,0.07407407407407407,0.6666666666666666,0.3333333333333333,sparse,sparse history damped | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.08333333333333333,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1001,MODEL-A,17.0,2.9860788111948193,3.0,3.0,9,1.8888888888888888,1.5808652529854925,0.6296296296296297,5.666666666666666,4.25,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.39521631324637313,0.6452163132463731,2.7421693312970854,7,5.0,4.25,-0.75,0.75,0.75,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1002,MODEL-A,10.0,2.3094010767585034,3.0,3.0,9,1.1111111111111112,2.078460969082653,0.3703703703703704,3.3333333333333335,2.5,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5196152422706632,0.7696152422706632,1.924038105676658,5,5.0,2.5,-2.5,2.5,2.5,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1003,MODEL-B,35.0,5.852349955359813,4.333333333333333,7.0,9,3.888888888888889,1.5048899885210947,0.8974358974358974,18.846153846153843,14.134615384615383,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.37622249713027367,0.6262224971302737,8.851414142129828,23,3.0,14.134615384615383,11.134615384615383,11.134615384615383,0.0,11.134615384615383,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1004,MODEL-B,10.0,1.5275252316519468,4.333333333333333,7.0,9,1.1111111111111112,1.374772708486752,0.25641025641025644,5.384615384615385,5.384615384615385,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.343693177121688,0.593693177121688,3.196809415270628,9,2.0,5.384615384615385,3.384615384615385,3.384615384615385,0.0,3.384615384615385,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1005,MODEL-B,6.0,1.4142135623730951,4.333333333333333,7.0,9,0.6666666666666666,2.121320343559643,0.15384615384615385,3.2307692307692313,2.4230769230769234,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5303300858899107,0.7803300858899107,1.890799823502476,5,1.0,2.4230769230769234,1.4230769230769234,1.4230769230769234,0.0,1.4230769230769234,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1006,MODEL-C,11.0,0.7071067811865476,0.0,0.0,9,1.2222222222222223,0.5785419118799026,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.14463547796997564,0.39463547796997567,0.0,0,10.0,0.0,-10.0,10.0,10.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1007,MODEL-C,32.0,1.632993161855452,0.0,0.0,9,3.5555555555555554,0.4592793267718459,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.11481983169296148,0.3648198316929615,0.0,0,8.0,0.0,-8.0,8.0,8.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1008,MODEL-C,21.0,1.5,0.0,0.0,9,2.3333333333333335,0.6428571428571428,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.1607142857142857,0.4107142857142857,0.0,0,3.0,0.0,-3.0,3.0,3.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1009,MODEL-D,24.0,1.9235384061671346,5.75,9.0,9,2.6666666666666665,0.7213269023126755,0.463768115942029,12.521739130434781,12.521739130434781,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.18033172557816887,0.4303317255781689,5.38850160723968,18,16.0,12.521739130434781,-3.4782608695652186,3.4782608695652186,3.4782608695652186,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
