part_id,week_start_date,opening_stock,usage_qty,fulfilled_qty,unfulfilled_qty,receipts_qty,backorder_qty,stock_on_order,closing_stock,demand_source,minimum_order_qty,order_multiple_qty,raw_recommended_qty,final_order_qty,moq_applied,order_multiple_applied
P-1001,2026-01-15,25.0,4.0,4.0,0.0,0.0,0.0,0.0,21.0,usage_only,5.0,1.0,150.42857142857142,150.42857142857142,False,False
P-1001,2026-01-15,21.0,4.0,4.0,0.0,0.0,0.0,150.42857142857142,17.0,usage_only,5.0,1.0,4.0,5.0,True,False
P-1002,2026-01-15,8.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,usage_only,2.0,1.0,251.14285714285717,251.14285714285717,False,False
P-1002,2026-01-15,6.0,2.0,2.0,0.0,0.0,0.0,251.14285714285717,4.0,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-01-15,7.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,usage_only,10.0,1.0,119.0,119.0,False,False
P-1003,2026-01-15,1.0,6.0,1.0,5.0,0.0,5.0,119.0,0.0,usage_only,10.0,1.0,1.0,10.0,True,False
P-1004,2026-01-15,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,usage_only,1.0,1.0,198.0,198.0,False,False
P-1005,2026-01-15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,usage_only,1.0,1.0,341.85714285714283,341.85714285714283,False,False
P-1001,2026-02-15,17.0,4.0,4.0,0.0,155.42857142857142,0.0,0.0,168.42857142857142,usage_only,5.0,1.0,3.0,5.0,True,False
P-1001,2026-02-15,168.42857142857142,4.0,4.0,0.0,0.0,0.0,5.0,164.42857142857142,usage_only,5.0,1.0,2.0,5.0,True,False
P-1002,2026-02-15,4.0,2.0,2.0,0.0,0.0,0.0,253.14285714285717,2.0,usage_only,2.0,1.0,2.0,2.0,False,False
P-1002,2026-02-15,2.0,2.0,2.0,0.0,0.0,0.0,255.14285714285717,0.0,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-02-15,0.0,6.0,5.0,6.0,5.0,6.0,124.0,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1003,2026-02-15,0.0,6.0,0.0,12.0,0.0,12.0,124.0,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1004,2026-02-15,2.0,1.0,1.0,0.0,0.0,0.0,198.0,1.0,usage_only,1.0,1.0,1.0,1.0,False,False
P-1005,2026-02-15,1.0,1.0,1.0,0.0,0.0,0.0,341.85714285714283,0.0,usage_only,1.0,1.0,1.0,1.0,False,False
