supplier_order_id,order_seq,part_id,order_date,original_order_qty,received_qty,cancelled_qty,remaining_qty,expected_arrival_date,actual_arrival_date,receipt_status
SIM-1,1,P-1001,2026-01-15,150.42857142857142,0.0,0.0,150.42857142857142,2026-02-14,,open
SIM-3,3,P-1002,2026-01-15,251.14285714285717,0.0,0.0,251.14285714285717,2026-03-01,,open
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-02-05,,open
SIM-1,1,P-1001,2026-01-15,150.42857142857142,150.42857142857142,0.0,0.0,2026-02-14,2026-02-15,full
SIM-2,2,P-1001,2026-01-15,5.0,5.0,0.0,0.0,2026-02-14,2026-02-15,full
SIM-9,9,P-1001,2026-02-15,5.0,0.0,0.0,5.0,2026-03-17,,open
SIM-4,4,P-1002,2026-01-15,2.0,0.0,0.0,2.0,2026-03-01,,open
SIM-11,11,P-1002,2026-02-15,2.0,0.0,0.0,2.0,2026-04-01,,open
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-02-22,,delayed
SIM-6,6,P-1003,2026-01-15,10.0,5.0,0.0,5.0,2026-02-22,2026-02-15,partial
SIM-7,7,P-1004,2026-01-15,198.0,0.0,0.0,198.0,2026-02-19,,open
SIM-8,8,P-1005,2026-01-15,341.85714285714283,0.0,0.0,341.85714285714283,2026-03-16,,open
SIM-10,10,P-1001,2026-02-15,5.0,0.0,0.0,5.0,2026-03-17,,open
SIM-15,15,P-1001,2026-03-15,5.0,0.0,0.0,5.0,2026-04-14,,open
SIM-3,3,P-1002,2026-01-15,251.14285714285717,125.57142857142858,0.0,125.57142857142858,2026-03-22,2026-03-15,partial
SIM-4,4,P-1002,2026-01-15,2.0,2.0,0.0,0.0,2026-03-01,2026-03-15,full
SIM-12,12,P-1002,2026-02-15,2.0,0.0,0.0,2.0,2026-04-01,,open
SIM-16,16,P-1002,2026-03-15,2.0,0.0,0.0,2.0,2026-04-29,,open
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-03-22,,delayed
SIM-6,6,P-1003,2026-01-15,10.0,7.5,0.0,2.5,2026-03-22,2026-03-15,partial
SIM-7,7,P-1004,2026-01-15,198.0,198.0,0.0,0.0,2026-02-19,2026-03-15,full
SIM-13,13,P-1004,2026-02-15,1.0,0.0,0.0,1.0,2026-03-22,,open
SIM-14,14,P-1005,2026-02-15,1.0,0.0,0.0,1.0,2026-04-16,,open
SIM-9,9,P-1001,2026-02-15,5.0,2.5,0.0,2.5,2026-04-22,2026-04-15,partial
SIM-10,10,P-1001,2026-02-15,5.0,0.0,0.0,5.0,2026-04-22,,delayed
SIM-15,15,P-1001,2026-03-15,5.0,0.0,0.0,5.0,2026-04-22,,delayed
SIM-19,19,P-1001,2026-04-15,5.0,0.0,0.0,5.0,2026-05-15,,open
SIM-3,3,P-1002,2026-01-15,251.14285714285717,188.3571428571429,0.0,62.78571428571429,2026-04-22,2026-04-15,partial
SIM-11,11,P-1002,2026-02-15,2.0,0.0,2.0,0.0,2026-04-01,,cancelled
SIM-12,12,P-1002,2026-02-15,2.0,1.0,0.0,1.0,2026-04-22,2026-04-15,partial
SIM-17,17,P-1002,2026-03-15,2.0,0.0,0.0,2.0,2026-04-29,,open
SIM-21,21,P-1002,2026-04-15,4.0,0.0,0.0,4.0,2026-05-30,,open
