model,date,qty
MODEL-E,2024-01-01,1
MODEL-D,2024-01-01,1
MODEL-B,2024-02-01,2
MODEL-I,2024-02-01,1
MODEL-A,2024-03-01,3
MODEL-J,2024-03-01,1
MODEL-B,2024-03-01,2
MODEL-I,2024-04-01,2
MODEL-D,2024-04-01,4
MODEL-G,2024-05-01,1
MODEL-F,2024-05-01,1
MODEL-D,2024-06-01,3
MODEL-F,2024-06-01,1
MODEL-F,2024-07-01,2
MODEL-J,2024-07-01,3
MODEL-G,2024-08-01,3
MODEL-B,2024-08-01,3
MODEL-D,2024-09-01,1
MODEL-E,2024-09-01,1
MODEL-G,2024-10-01,1
MODEL-E,2024-10-01,2
MODEL-F,2024-11-01,2
MODEL-J,2024-11-01,2
MODEL-C,2024-12-01,1
MODEL-I,2024-12-01,1
MODEL-E,2025-01-01,1
MODEL-I,2025-01-01,2
MODEL-D,2025-01-01,2
MODEL-A,2025-02-01,1
MODEL-F,2025-02-01,1
MODEL-B,2025-03-01,2
MODEL-D,2025-03-01,1
MODEL-F,2025-03-01,2
MODEL-H,2025-04-01,3
MODEL-C,2025-04-01,1
MODEL-E,2025-04-01,1
MODEL-E,2025-05-01,1
MODEL-G,2025-05-01,3
MODEL-I,2025-05-01,1
MODEL-C,2025-05-01,1
MODEL-B,2025-06-01,3
MODEL-A,2025-06-01,1
MODEL-J,2025-06-01,2
MODEL-B,2025-07-01,1
MODEL-G,2025-07-01,1
MODEL-I,2025-07-01,1
MODEL-E,2025-07-01,2
MODEL-I,2025-08-01,1
MODEL-A,2025-08-01,2
MODEL-B,2025-08-01,3
MODEL-E,2025-09-01,2
MODEL-G,2025-09-01,2
MODEL-E,2025-10-01,1
MODEL-I,2025-10-01,1
MODEL-E,2025-11-01,1
MODEL-I,2025-11-01,1
MODEL-I,2025-12-01,2
MODEL-J,2025-12-01,2
MODEL-A,2025-12-01,3
