part_number,model,usage_date,usage_qty,machine_serial,service_order_no,technician_id
P-1001,AP500,2026-01-15,4,SN-1000,SO-5000,T-01
P-1002,AP700,2026-01-15,2,SN-1001,SO-5001,T-02
P-1003,CP900,2026-01-15,6,SN-1002,SO-5002,T-03
P-1004,AP700,2026-01-15,1,SN-1003,SO-5003,T-04
P-1005,CP900,2026-01-15,1,SN-1004,SO-5004,T-05
P-1001,AP500,2026-02-15,4,SN-1010,SO-5010,T-01
P-1002,AP700,2026-02-15,2,SN-1011,SO-5011,T-02
P-1003,CP900,2026-02-15,6,SN-1012,SO-5012,T-03
P-1004,AP700,2026-02-15,1,SN-1013,SO-5013,T-04
P-1005,CP900,2026-02-15,1,SN-1014,SO-5014,T-05
P-1001,AP500,2026-03-15,4,SN-1020,SO-5020,T-01
P-1002,AP700,2026-03-15,2,SN-1021,SO-5021,T-02
P-1003,CP900,2026-03-15,6,SN-1022,SO-5022,T-03
P-1004,AP700,2026-03-15,1,SN-1023,SO-5023,T-04
P-1005,CP900,2026-03-15,1,SN-1024,SO-5024,T-05
P-1001,AP500,2026-04-15,4,SN-1030,SO-5030,T-01
P-1002,AP700,2026-04-15,2,SN-1031,SO-5031,T-02
P-1003,CP900,2026-04-15,6,SN-1032,SO-5032,T-03
P-1004,AP700,2026-04-15,1,SN-1033,SO-5033,T-04
P-1005,CP900,2026-04-15,1,SN-1034,SO-5034,T-05
P-1001,AP500,2026-05-15,4,SN-1040,SO-5040,T-01
P-1002,AP700,2026-05-15,2,SN-1041,SO-5041,T-02
P-1003,CP900,2026-05-15,6,SN-1042,SO-5042,T-03
P-1004,AP700,2026-05-15,1,SN-1043,SO-5043,T-04
P-1005,CP900,2026-05-15,1,SN-1044,SO-5044,T-05
P-1001,AP500,2026-06-15,4,SN-1050,SO-5050,T-01
P-1002,AP700,2026-06-15,2,SN-1051,SO-5051,T-02
P-1003,CP900,2026-06-15,6,SN-1052,SO-5052,T-03
P-1004,AP700,2026-06-15,1,SN-1053,SO-5053,T-04
P-1005,CP900,2026-06-15,1,SN-1054,SO-5054,T-05
