order_no,part_number,order_qty,fulfilled_qty,order_date,order_source,order_status,order_fulfilment_date
O-60-001,P-1001,10,10,2026-07-01,dealer,fulfilled,2026-07-02
O-60-002,P-1002,10,10,2026-07-02,dealer,fulfilled,2026-07-03
O-60-003,P-1003,10,10,2026-07-03,dealer,fulfilled,2026-07-04
O-60-004,P-1004,10,10,2026-07-04,dealer,fulfilled,2026-07-05
O-60-005,P-1005,10,10,2026-07-05,dealer,fulfilled,2026-07-06
O-60-006,P-1001,10,10,2026-07-06,dealer,fulfilled,2026-07-07
O-60-007,P-1002,10,0,2026-07-07,dealer,backorder,
O-60-008,P-1003,10,0,2026-07-08,dealer,backorder,
O-60-009,P-1004,10,0,2026-07-09,dealer,backorder,
O-60-010,P-1005,10,0,2026-07-10,dealer,backorder,
