part_number,model
PN-1000,MODEL-A
PN-1001,MODEL-A
PN-1002,MODEL-A
PN-1003,MODEL-B
PN-1004,MODEL-B
PN-1005,MODEL-B
PN-1006,MODEL-C
PN-1007,MODEL-C
PN-1008,MODEL-C
PN-1009,MODEL-D
PN-1010,MODEL-D
PN-1011,MODEL-D
PN-1012,MODEL-E
PN-1013,MODEL-E
PN-1014,MODEL-E
PN-1015,MODEL-F
PN-1016,MODEL-F
PN-1017,MODEL-F
PN-1018,MODEL-G
PN-1019,MODEL-G
PN-1020,MODEL-G
PN-1021,MODEL-H
PN-1022,MODEL-H
PN-1023,MODEL-H
PN-1024,MODEL-I
PN-1025,MODEL-I
PN-1026,MODEL-I
PN-1027,MODEL-J
PN-1028,MODEL-J
PN-1029,MODEL-J
