part_number,stock_on_hand,stock_on_order,snapshot_date
PN-1000,16,5,2025-12-31
PN-1001,19,7,2025-12-31
PN-1002,20,7,2025-12-31
PN-1003,1,3,2025-12-31
PN-1004,8,8,2025-12-31
PN-1005,4,4,2025-12-31
PN-1006,14,7,2025-12-31
PN-1007,3,0,2025-12-31
PN-1008,20,9,2025-12-31
PN-1009,7,2,2025-12-31
PN-1010,9,8,2025-12-31
PN-1011,0,8,2025-12-31
PN-1012,13,1,2025-12-31
PN-1013,7,1,2025-12-31
PN-1014,14,1,2025-12-31
PN-1015,20,2,2025-12-31
PN-1016,15,4,2025-12-31
PN-1017,16,4,2025-12-31
PN-1018,13,7,2025-12-31
PN-1019,15,3,2025-12-31
PN-1020,14,8,2025-12-31
PN-1021,4,6,2025-12-31
PN-1022,6,9,2025-12-31
PN-1023,16,2,2025-12-31
PN-1024,2,4,2025-12-31
PN-1025,13,5,2025-12-31
PN-1026,16,4,2025-12-31
PN-1027,0,4,2025-12-31
PN-1028,9,9,2025-12-31
PN-1029,18,10,2025-12-31
