part_number,model,date,qty
PN-1017,MODEL-F,2024-01-01,3
PN-1013,MODEL-E,2024-01-02,5
PN-1005,MODEL-B,2024-01-03,4
PN-1001,MODEL-A,2024-01-04,3
PN-1015,MODEL-F,2024-01-07,3
PN-1016,MODEL-F,2024-01-09,6
PN-1027,MODEL-J,2024-01-13,5
PN-1009,MODEL-D,2024-01-15,6
PN-1026,MODEL-I,2024-01-16,1
PN-1015,MODEL-F,2024-01-20,1
PN-1006,MODEL-C,2024-01-21,5
PN-1007,MODEL-C,2024-01-25,6
PN-1010,MODEL-D,2024-01-29,1
PN-1015,MODEL-F,2024-01-30,4
PN-1010,MODEL-D,2024-01-30,4
PN-1024,MODEL-I,2024-02-01,2
PN-1028,MODEL-J,2024-02-02,3
PN-1012,MODEL-E,2024-02-09,4
PN-1011,MODEL-D,2024-02-10,3
PN-1004,MODEL-B,2024-02-12,3
PN-1025,MODEL-I,2024-02-12,3
PN-1008,MODEL-C,2024-02-15,6
PN-1000,MODEL-A,2024-02-17,2
PN-1028,MODEL-J,2024-02-22,1
PN-1001,MODEL-A,2024-02-25,5
PN-1010,MODEL-D,2024-02-28,1
PN-1007,MODEL-C,2024-02-29,2
PN-1017,MODEL-F,2024-03-03,6
PN-1013,MODEL-E,2024-03-04,2
PN-1003,MODEL-B,2024-03-07,4
PN-1019,MODEL-G,2024-03-10,6
PN-1011,MODEL-D,2024-03-11,5
PN-1008,MODEL-C,2024-03-12,3
PN-1010,MODEL-D,2024-03-15,1
PN-1003,MODEL-B,2024-03-16,5
PN-1015,MODEL-F,2024-03-16,5
PN-1003,MODEL-B,2024-03-18,6
PN-1014,MODEL-E,2024-03-20,6
PN-1019,MODEL-G,2024-03-24,4
PN-1026,MODEL-I,2024-03-24,4
PN-1009,MODEL-D,2024-03-28,2
PN-1010,MODEL-D,2024-04-05,2
PN-1003,MODEL-B,2024-04-09,6
PN-1020,MODEL-G,2024-04-10,1
PN-1007,MODEL-C,2024-04-14,6
